,Date,Open,High,Low,Close,Trading volume,Trading value,No. of listed,Market Cap.
0,25 Aug 2023,392.64,395.37,390.82,395.37,"19,867","65,830,650",8,"745,736"
1,24 Aug 2023,393.14,394.17,392.41,394.17,"4,041","11,682,800",8,"743,474"
2,23 Aug 2023,394.70,394.70,390.75,394.17,"13,617","49,409,500",8,"743,474"
3,22 Aug 2023,393.48,393.68,392.26,393.68,"22,387","53,130,500",8,"742,544"
4,21 Aug 2023,388.60,391.72,388.60,391.72,"17,564","49,580,350",8,"738,865"
5,18 Aug 2023,381.05,385.81,381.05,385.81,"12,701","45,975,600",8,"727,709"
6,17 Aug 2023,381.11,381.11,379.54,380.08,"19,080","54,479,650",8,"716,902"
7,16 Aug 2023,376.11,382.87,376.11,382.87,"11,373","27,767,750",8,"722,160"
8,15 Aug 2023,381.27,382.05,375.58,375.58,"12,997","39,171,200",8,"708,409"
9,14 Aug 2023,383.10,383.10,380.56,381.42,"17,917","69,031,350",8,"719,432"
10,11 Aug 2023,380.58,385.38,379.86,385.38,"9,366","22,504,850",8,"726,903"
11,10 Aug 2023,376.52,380.34,376.52,378.83,"9,498","26,115,700",8,"714,541"
12,9 Aug 2023,376.52,378.61,376.52,378.61,"13,108","38,702,200",8,"714,132"
13,8 Aug 2023,375.23,378.61,372.75,378.61,"21,539","45,615,400",8,"714,132"
14,7 Aug 2023,371.02,376.17,370.91,370.91,"9,869","36,506,150",8,"699,601"
15,4 Aug 2023,367.67,371.02,365.28,371.02,"13,655","37,868,400",8,"699,801"
16,3 Aug 2023,364.58,366.31,364.58,366.31,"22,685","60,992,550",8,"690,930"
17,2 Aug 2023,367.74,367.74,363.52,366.34,"12,259","36,742,100",8,"690,981"
18,31 Jul 2023,364.36,367.11,362.80,367.11,"16,804","39,392,900",8,"692,429"
19,28 Jul 2023,363.36,365.97,361.41,365.42,"21,266","45,902,300",8,"689,243"
20,27 Jul 2023,358.54,363.76,358.54,363.76,"36,311","68,374,800",8,"686,115"
21,26 Jul 2023,359.58,363.46,359.58,361.32,"10,393","19,229,800",8,"681,523"
22,25 Jul 2023,358.22,362.04,358.22,358.80,"23,129","38,458,500",8,"676,762"
23,24 Jul 2023,357.02,364.69,357.02,364.01,"17,006","36,127,350",8,"686,591"
24,21 Jul 2023,361.55,361.55,354.26,357.80,"41,217","78,336,200",8,"674,885"
25,20 Jul 2023,356.09,363.22,356.09,363.22,"20,703","41,343,300",8,"685,094"
26,18 Jul 2023,353.95,357.78,353.48,357.78,"35,721","69,896,700",8,"674,837"
27,17 Jul 2023,354.60,358.17,354.60,355.37,"46,868","94,618,050",8,"670,295"
28,14 Jul 2023,355.33,357.14,355.33,357.14,"13,106","27,281,300",8,"673,638"
29,13 Jul 2023,357.82,357.82,355.67,355.67,"18,265","34,208,500",8,"670,866"
30,12 Jul 2023,353.11,356.29,353.11,356.23,"22,818","46,203,000",8,"671,922"
31,11 Jul 2023,355.10,357.98,355.10,356.56,"37,486","73,594,900",8,"672,538"
32,10 Jul 2023,357.98,358.61,355.10,355.10,"47,284","94,774,500",8,"669,776"
33,7 Jul 2023,357.70,359.26,357.70,357.98,"47,236","93,926,800",8,"675,208"
34,6 Jul 2023,354.51,361.55,354.51,361.55,"45,320","91,893,000",8,"681,949"
35,5 Jul 2023,355.62,356.05,353.88,356.05,"92,892","167,269,250",8,"671,573"
36,4 Jul 2023,354.86,355.02,353.50,355.02,"90,221","176,839,800",8,"669,626"
37,3 Jul 2023,354.57,355.70,353.73,354.86,"124,345","252,357,100",8,"669,333"
38,30 Jun 2023,354.67,355.86,354.67,355.86,"6,034","17,217,700",7,"627,060"
39,28 Jun 2023,353.83,354.67,353.83,354.67,"12,361","23,206,250",7,"624,961"
40,27 Jun 2023,357.51,357.51,356.91,356.91,"2,604","7,328,200",7,"628,906"
41,26 Jun 2023,357.14,357.14,354.70,356.94,"5,610","11,326,450",7,"628,956"
42,23 Jun 2023,355.63,355.63,354.42,354.79,"13,653","31,255,850",7,"625,161"
43,22 Jun 2023,355.44,356.91,355.44,356.91,"8,127","15,123,750",7,"628,906"
44,21 Jun 2023,354.46,356.55,354.10,356.55,"15,062","30,485,500",7,"628,265"
45,20 Jun 2023,355.42,355.42,353.62,353.62,"2,550","6,320,800",7,"623,113"
46,19 Jun 2023,357.86,358.46,355.14,355.42,"8,456","18,296,950",7,"626,277"
47,16 Jun 2023,357.56,358.13,355.40,357.27,"1,860","3,376,900",7,"629,547"
48,15 Jun 2023,355.73,356.83,355.14,356.83,"9,463","25,536,950",7,"628,769"
49,14 Jun 2023,354.19,355.73,353.85,355.73,"10,979","20,713,400",7,"626,832"
50,13 Jun 2023,355.51,355.51,353.11,353.11,"26,925","54,833,100",7,"622,215"
51,12 Jun 2023,355.64,355.64,352.29,352.89,"4,099","10,393,500",7,"621,816"
52,9 Jun 2023,355.13,357.08,355.13,355.64,"10,018","30,807,950",7,"626,666"
53,8 Jun 2023,361.24,362.35,357.42,357.42,"13,744","33,296,450",7,"629,795"
54,7 Jun 2023,358.30,359.41,356.42,358.57,"2,533","13,191,950",7,"631,824"
55,6 Jun 2023,359.18,360.34,355.35,359.98,"2,097","6,472,350",7,"634,306"
56,5 Jun 2023,358.55,359.66,357.75,358.93,"3,060","6,248,150",7,"632,465"
57,2 Jun 2023,361.41,361.88,360.00,360.00,"9,171","18,533,700",7,"634,357"
58,1 Jun 2023,354.60,361.41,354.60,361.41,"11,115","38,766,850",7,"636,826"
59,31 May 2023,358.47,358.47,354.24,356.03,"25,705","70,924,300",7,"627,351"
60,30 May 2023,361.06,361.79,359.96,361.79,"14,812","39,832,850",7,"637,500"
61,29 May 2023,359.63,361.63,359.63,361.06,"1,500","6,299,500",7,"636,218"
62,26 May 2023,359.85,362.35,357.33,362.35,"6,394","20,231,100",7,"638,489"
63,25 May 2023,356.86,362.09,356.86,360.21,"3,317","9,746,250",7,"634,719"
64,24 May 2023,358.84,361.71,356.27,356.86,828,"5,236,550",7,"628,821"
65,23 May 2023,357.41,357.41,353.65,355.09,"5,427","27,685,900",7,"625,691"
66,22 May 2023,357.48,359.36,354.50,359.36,"2,286","16,669,450",7,"633,219"
67,19 May 2023,358.21,360.09,358.21,360.09,"5,404","17,139,850",7,"634,501"
68,18 May 2023,351.07,358.21,351.07,358.21,"5,142","16,428,150",7,"631,190"
69,17 May 2023,351.91,354.89,351.91,353.01,"10,721","18,075,250",7,"622,040"
70,16 May 2023,354.89,356.00,351.91,351.91,"21,208","41,598,900",7,"620,093"
71,15 May 2023,351.73,356.92,351.73,355.49,"4,622","11,971,100",7,"626,401"
72,12 May 2023,358.47,359.84,350.89,350.89,"4,392","8,144,150",7,"618,296"
73,11 May 2023,356.77,358.47,356.00,357.63,"3,558","11,739,450",7,"630,175"
74,10 May 2023,358.47,358.47,356.77,356.77,"5,015","24,912,300",7,"628,662"
75,9 May 2023,359.07,359.07,358.47,358.47,"7,195","14,694,700",7,"631,658"
76,8 May 2023,358.03,359.91,358.03,359.07,"3,921","10,843,300",7,"632,707"
77,5 May 2023,356.08,359.91,356.08,358.03,"5,488","16,328,650",7,"630,879"
78,4 May 2023,352.33,356.08,351.76,356.08,"9,558","29,400,000",7,"627,450"
79,2 May 2023,358.86,358.86,352.33,352.33,"6,943","20,417,700",7,"620,828"
80,28 Apr 2023,358.64,364.05,358.42,362.95,"2,012","5,012,750",7,"639,546"
81,27 Apr 2023,363.10,366.41,363.06,363.06,"5,726","17,301,550",7,"639,746"
82,26 Apr 2023,363.10,364.20,361.69,364.20,"3,919","12,983,750",7,"641,752"
83,25 Apr 2023,363.10,365.04,362.25,364.20,"6,245","12,621,450",7,"641,752"
84,24 Apr 2023,362.02,362.02,358.12,358.96,"6,858","16,704,400",7,"632,525"
85,21 Apr 2023,357.86,361.17,357.86,361.17,"11,141","29,762,650",7,"636,417"
86,20 Apr 2023,358.96,358.96,357.86,358.96,"4,830","7,739,200",7,"632,525"
87,19 Apr 2023,352.16,357.86,352.16,357.86,"4,106","21,049,000",7,"630,578"
